date,daily_revenue
2024-01-02,94.0
2024-01-03,454.0
2024-01-04,56.5
2024-01-05,304.7
2024-01-06,392.35
2024-01-07,310.64
2024-01-08,486.9
2024-01-09,575.73
2024-01-10,1675.31
2024-01-11,2027.85
2024-01-12,1732.45
2024-01-13,48.99
2024-01-16,205.46
2024-01-17,16.0
2024-01-19,62.4
2024-01-23,45.6
2024-01-24,17.25
2024-01-28,162.54000000000002
2024-01-29,30.25
2024-02-02,107.98
2024-02-03,192.75
2024-02-04,330.19
2024-02-05,472.7
2024-02-06,523.59
2024-02-07,734.39
2024-02-08,697.75
2024-02-09,824.13
2024-02-10,826.1
2024-02-11,1010.1
2024-02-12,1711.77
2024-02-14,150.3
2024-02-15,22.5
2024-02-17,36.0
2024-02-18,167.5
2024-02-19,17.0
2024-02-20,267.0
2024-02-23,184.8
2024-02-24,139.95
2024-02-25,90.5
2024-02-26,247.0
2024-02-27,53.25
2024-02-28,190.0
2024-02-29,244.47
2024-03-02,76.2
2024-03-03,78.5
2024-03-04,438.23
2024-03-05,918.74
2024-03-06,538.44
2024-03-07,1021.44
2024-03-08,886.26
2024-03-09,748.0
2024-03-10,2107.85
2024-03-11,1340.35
2024-03-12,1894.38
2024-03-13,272.29
2024-03-14,195.44
2024-03-15,324.65
2024-03-16,477.35
2024-03-18,148.0
2024-03-19,20.39
2024-03-20,479.08
2024-03-21,382.0
2024-03-22,396.75
2024-03-23,61.0
2024-03-24,91.75
2024-03-25,402.75
2024-03-26,558.08
2024-03-27,394.47
2024-03-28,354.6
2024-03-29,397.98
2024-03-30,32.0
2024-03-31,153.8
2024-04-01,424.37
2024-04-02,41.75
2024-04-03,131.1
2024-04-04,29.0
2024-04-05,401.75
2024-04-06,254.6
2024-04-07,891.19
2024-04-08,1795.1
2024-04-09,1115.43
2024-04-10,1444.22
2024-04-11,1155.75
2024-04-12,1616.45
2024-04-13,125.75
2024-04-14,596.68
2024-04-15,431.72
2024-04-16,165.65
2024-04-17,304.47
2024-04-18,338.73
2024-04-19,459.13
2024-04-20,101.0
2024-04-21,280.75
2024-04-22,470.09999999999997
2024-04-23,184.6
2024-04-24,630.7
2024-04-25,716.83
