date,daily_revenue
2024-01-03,312.49
2024-01-04,233.518
2024-01-05,635.516
2024-01-06,231.24
2024-01-07,784.102
2024-01-08,1834.858
2024-01-09,1464.64
2024-01-10,1153.46
2024-01-11,1778.6399999999999
2024-01-12,1723.146
2024-01-18,73.0
2024-01-22,53.75
2024-01-30,88.0
2024-02-02,146.726
2024-02-03,200.25
2024-02-04,587.75
2024-02-05,243.2
2024-02-06,622.604
2024-02-07,687.5
2024-02-08,1435.608
2024-02-09,2007.198
2024-02-10,1388.82
2024-02-11,1996.24
2024-02-12,1641.3
2024-02-15,41.4
2024-02-16,28.5
2024-02-17,117.97999999999999
2024-02-18,73.0
2024-02-19,20.5
2024-02-20,18.0
2024-02-21,70.5
2024-02-22,47.75
2024-02-23,89.7
2024-02-24,730.5
2024-02-26,70.99
2024-02-27,87.5
2024-02-28,160.85
2024-02-29,134.39999999999998
2024-03-01,19.0
2024-03-02,139.2
2024-03-03,327.65
2024-03-04,785.38
2024-03-05,675.15
2024-03-06,365.49
2024-03-07,987.5799999999999
2024-03-08,1817.768
2024-03-09,977.078
2024-03-10,2123.476
2024-03-11,1498.076
2024-03-12,1694.79
2024-03-13,145.2
2024-03-14,292.038
2024-03-15,378.028
2024-03-16,167.49
2024-03-17,87.75
2024-03-18,562.99
2024-03-19,586.988
2024-03-20,328.94
2024-03-21,495.858
2024-03-22,363.7
2024-03-23,701.678
2024-03-24,378.4
2024-03-25,556.98
2024-03-26,841.418
2024-03-27,578.05
2024-03-28,233.0
2024-03-29,44.989999999999995
2024-03-30,393.25
2024-03-31,261.74
2024-04-01,155.188
2024-04-02,140.5
2024-04-03,410.5
2024-04-04,975.39
2024-04-05,233.7
2024-04-06,863.53
2024-04-07,1081.188
2024-04-08,1088.1979999999999
2024-04-09,2037.298
2024-04-10,1824.7079999999999
2024-04-11,1301.658
2024-04-12,1097.4099999999999
2024-04-13,396.49
2024-04-14,628.04
2024-04-15,747.84
2024-04-16,326.7
2024-04-17,207.9
2024-04-18,438.488
2024-04-19,890.55
2024-04-20,394.1
2024-04-21,470.2
2024-04-22,387.966
2024-04-23,785.54
2024-04-24,263.8
2024-04-25,951.788
2024-04-26,703.5
2024-04-27,256.78999999999996
2024-04-28,574.86
2024-04-29,620.9399999999999
2024-04-30,551.18
2024-05-01,337.99
2024-05-02,141.5
2024-05-03,106.25
2024-05-04,1102.94
2024-05-05,227.55
2024-05-06,1078.998
2024-05-07,973.504
2024-05-08,1446.456
2024-05-09,1937.038
2024-05-10,1569.4279999999999
2024-05-11,1776.608
2024-05-12,1926.784
2024-05-13,651.1
2024-05-14,734.89
2024-05-15,939.1279999999999
2024-05-16,755.2139999999999
2024-05-17,800.25
2024-05-18,966.94
2024-05-19,778.638
2024-05-20,728.97
2024-05-21,912.2280000000001
2024-05-22,605.066
2024-05-23,517.0
2024-05-24,655.55
2024-05-25,899.136
2024-05-26,271.118
2024-05-27,1132.668
2024-05-28,191.988
2024-05-29,1203.65
2024-05-30,671.478
2024-05-31,953.45
2024-06-01,64.49000000000001
2024-06-02,678.9
2024-06-03,165.19
2024-06-04,534.976
2024-06-05,595.504
2024-06-06,768.88
2024-06-07,1263.208
2024-06-08,1524.478
2024-06-09,2974.678
2024-06-10,2564.726
2024-06-11,1647.6399999999999
2024-06-12,2709.286
2024-06-13,960.07
2024-06-14,1022.99
2024-06-15,896.89
2024-06-16,965.4
2024-06-17,1549.016
2024-06-18,1069.938
2024-06-19,713.6
2024-06-20,1513.528
2024-06-21,884.38
2024-06-22,998.016
2024-06-23,1018.5899999999999
2024-06-24,875.75
2024-06-25,1678.358
2024-06-26,931.1899999999999
2024-06-27,1057.0
2024-06-28,1683.09
2024-06-29,1054.04
2024-06-30,930.564
2024-07-01,100.5
2024-07-02,939.3779999999999
2024-07-03,664.216
2024-07-04,925.178
2024-07-05,1149.69
2024-07-06,909.106
2024-07-07,1510.58
2024-07-08,1004.25
2024-07-09,1544.58
2024-07-10,2595.078
2024-07-11,1795.24
2024-07-12,2625.476
2024-07-13,2418.148
2024-07-14,1689.75
2024-07-15,566.138
2024-07-16,1155.85
2024-07-17,1113.728
2024-07-18,1751.9
2024-07-19,1555.048
2024-07-20,1437.354
2024-07-21,1287.32
2024-07-22,1686.8
2024-07-23,1560.3899999999999
2024-07-24,785.728
2024-07-25,1337.48
2024-07-26,1460.278
2024-07-27,793.458
2024-07-28,1714.05
2024-07-29,1365.642
2024-07-30,1453.8899999999999
2024-07-31,1951.39
2024-08-01,266.29999999999995
2024-08-02,1115.15
2024-08-03,875.466
2024-08-04,625.44
2024-08-05,1014.288
2024-08-06,1068.15
2024-08-07,713.808
2024-08-08,1740.4180000000001
2024-08-09,3028.14
2024-08-10,2057.57
2024-08-11,2265.118
2024-08-12,2367.054
2024-08-13,1446.724
2024-08-14,2188.998
2024-08-15,2314.34
2024-08-16,2199.142
2024-08-17,2192.56
2024-08-18,1340.098
2024-08-19,1833.538
2024-08-20,915.378
2024-08-21,1653.538
2024-08-22,2716.468
2024-08-23,2645.59
2024-08-24,1702.194
2024-08-25,2563.076
2024-08-26,2342.22
2024-08-27,1437.85
2024-08-28,2787.312
2024-08-29,1518.07
2024-08-30,1693.93
2024-08-31,1196.4279999999999
2024-09-01,503.83799999999997
2024-09-02,601.5
2024-09-03,592.08
2024-09-04,1405.32
2024-09-05,1708.74
2024-09-06,1662.47
2024-09-07,1440.078
2024-09-08,1689.692
2024-09-09,2134.936
2024-09-10,2194.168
2024-09-11,2887.054
2024-09-12,2298.35
2024-09-13,2716.958
2024-09-14,3064.274
2024-09-15,2462.848
2024-09-16,2760.556
2024-09-17,2168.16
2024-09-18,2257.85
2024-09-19,2401.2039999999997
2024-09-20,2432.114
2024-09-21,3171.576
2024-09-22,1693.6399999999999
2024-09-23,2499.676
2024-09-24,2062.968
2024-09-25,2349.428
2024-09-26,1798.988
2024-09-27,3018.918
